knot,crossings,s_ub,exact_s,e_ub,e_ub_minus_s_ub,source_sticks,input_status,e_status
10_40,10,11,,11,0,11,unchecked,reported_only
10_41,10,11,,11,0,11,unchecked,reported_only
10_42,10,11,,11,0,11,matched,reported_only
10_43,10,11,,11,0,11,unchecked,reported_only
10_44,10,11,,11,0,11,unchecked,reported_only
10_45,10,11,,11,0,11,matched,reported_only
10_46,10,11,,11,0,11,unchecked,reported_only
10_47,10,11,,11,0,11,matched,reported_only
10_48,10,10,,10,0,10,unchecked,reported_only
10_49,10,11,,11,0,11,unchecked,reported_only
10_5,10,11,,11,0,11,matched,reported_only
10_50,10,11,,11,0,11,unchecked,reported_only
10_51,10,11,,11,0,11,unchecked,reported_only
10_52,10,10,,11,1,10,matched,reported_only
10_53,10,11,,11,0,11,matched,reported_only
10_54,10,11,,11,0,11,unchecked,reported_only
10_55,10,11,,11,0,11,unchecked,reported_only
10_56,10,10,,10,0,10,matched,reported_only
10_57,10,11,,11,0,11,unchecked,reported_only
10_58,10,11,,11,0,11,matched,reported_only
10_59,10,11,,11,0,11,unchecked,reported_only
10_6,10,11,,11,0,11,unchecked,reported_only
10_60,10,10,,11,1,10,unchecked,reported_only
10_61,10,10,,11,1,10,matched,reported_only
10_62,10,11,,11,0,11,unchecked,reported_only
10_63,10,11,,11,0,11,matched,reported_only
10_64,10,11,,11,0,11,matched,reported_only
10_65,10,11,,11,0,11,matched,reported_only
10_66,10,11,,11,0,11,unchecked,reported_only
10_67,10,11,,11,0,11,matched,reported_only
10_68,10,10,,10,0,10,unchecked,reported_only
10_69,10,11,,11,0,11,unchecked,reported_only
10_7,10,11,,11,0,11,matched,reported_only
10_70,10,11,,11,0,11,unchecked,reported_only
10_71,10,11,,11,0,11,matched,reported_only
10_72,10,11,,11,0,11,matched,reported_only
10_73,10,11,,11,0,11,matched,reported_only
10_74,10,11,,11,0,11,unchecked,reported_only
10_75,10,11,,11,0,11,unchecked,reported_only
10_76,10,11,,12,1,11,unchecked,reported_only
10_77,10,11,,11,0,11,unchecked,reported_only
10_78,10,11,,11,0,11,unchecked,reported_only
10_79,10,11,,11,0,11,unchecked,reported_only
10_8,10,10,,10,0,10,unchecked,reported_only
10_80,10,11,,11,0,11,matched,reported_only
10_81,10,11,,11,0,11,unchecked,reported_only
10_82,10,10,,10,0,10,matched,reported_only
10_83,10,10,,10,0,10,unchecked,reported_only
10_84,10,10,,10,0,10,unchecked,reported_only
10_85,10,10,,10,0,10,unchecked,reported_only
10_86,10,,,11,,10,mismatch,reported_only
10_87,10,10,,11,1,10,unchecked,reported_only
10_88,10,11,,11,0,11,matched,reported_only
10_89,10,11,,11,0,11,unchecked,reported_only
10_9,10,10,,11,1,10,unchecked,reported_only
10_90,10,10,,10,0,10,unchecked,reported_only
10_91,10,10,,10,0,10,unchecked,reported_only
10_92,10,10,,11,1,10,matched,reported_only
10_93,10,10,,10,0,10,unchecked,reported_only
10_94,10,10,,10,0,10,matched,reported_only
10_95,10,11,,11,0,11,matched,reported_only
10_96,10,10,,11,1,10,unchecked,reported_only
10_97,10,10,,11,1,10,matched,reported_only
10_98,10,11,,11,0,11,unchecked,reported_only
10_99,10,11,,11,0,11,matched,reported_only
K11a1,11,11,,12,1,11,unchecked,reported_only
K11a10,11,11,,,,11,unchecked,none
K11a100,11,11,,,,11,unchecked,none
K11a101,11,11,,12,1,11,matched,reported_only
K11a102,11,11,,,,11,unchecked,none
K11a103,11,11,,12,1,11,unchecked,reported_only
K11a104,11,11,,12,1,11,unchecked,reported_only
K11a105,11,11,,,,11,unchecked,none
K11a106,11,11,,,,11,unchecked,none
K11a107,11,12,,,,12,unchecked,none
K11a108,11,11,,,,11,unchecked,none
K11a109,11,11,,12,1,11,matched,reported_only
K11a11,11,11,,12,1,11,unchecked,reported_only
K11a110,11,11,,12,1,11,unchecked,reported_only
K11a111,11,11,,12,1,11,unchecked,reported_only
K11a112,11,11,,12,1,11,unchecked,reported_only
K11a113,11,11,,12,1,11,unchecked,reported_only
K11a114,11,11,,,,11,unchecked,none
K11a115,11,11,,,,11,unchecked,none
K11a116,11,11,,12,1,11,unchecked,reported_only
K11a117,11,11,,12,1,11,unchecked,reported_only
K11a118,11,11,,,,11,unchecked,none
K11a119,11,11,,,,11,unchecked,none
K11a12,11,11,,12,1,11,matched,reported_only
K11a120,11,11,,,,11,unchecked,none
K11a121,11,11,,,,11,unchecked,none
K11a122,11,11,,,,11,unchecked,none
K11a123,11,11,,,,11,unchecked,none
K11a124,11,11,,,,11,unchecked,none
K11a125,11,11,,11,0,11,unchecked,reported_only
K11a126,11,11,,,,11,unchecked,none
K11a127,11,11,,11,0,11,unchecked,reported_only
K11a128,11,11,,,,11,unchecked,none
K11a129,11,11,,12,1,11,unchecked,reported_only
K11a13,11,12,,,,12,unchecked,none
K11a130,11,11,,12,1,11,unchecked,reported_only
K11a131,11,11,,,,11,unchecked,none
K11a132,11,11,,,,11,unchecked,none
K11a133,11,12,,,,12,unchecked,none
K11a134,11,11,,,,11,unchecked,none
K11a135,11,11,,,,11,unchecked,none
K11a136,11,11,,11,0,11,unchecked,reported_only
K11a137,11,11,,12,1,11,unchecked,reported_only
