knot,crossings,sticks,input_min_dist
K11a244,11,11,0.00069026265897128962
K11a245,11,11,0.0010356452090827825
K11a246,11,12,0.00071456345454681499
K11a247,11,12,0.00057532472905793967
K11a248,11,11,0.0046972217235668415
K11a249,11,11,0.00042464547145017455
K11a25,11,11,0.00020469706841506923
K11a250,11,11,0.0055353664787880109
K11a251,11,11,0.00081772391104310783
K11a252,11,11,0.00037536202444046751
K11a253,11,11,9.0866318965513351e-05
K11a254,11,11,0.0018982075760733052
K11a255,11,11,0.0032965537766845255
K11a256,11,11,0.0038983374310305849
K11a257,11,11,0.00077460060513711106
K11a258,11,11,0.006189860503788505
K11a259,11,11,0.0011277801595939831
K11a26,11,11,0.0027932113764639085
K11a260,11,11,0.0050485311169103644
K11a261,11,11,0.0015538377456523623
K11a262,11,11,0.0073046346473609695
K11a263,11,11,0.010643078619340234
K11a264,11,11,0.0059121277698715516
K11a265,11,11,8.6871336649312731e-05
K11a266,11,10,0.00056556750768667189
K11a267,11,10,0.0033695336388188282
K11a268,11,10,0.00019445245975289842
K11a269,11,10,0.0046260937490105163
K11a27,11,11,0.00045381007572026325
K11a270,11,11,0.00048066897055530834
K11a271,11,11,0.0040305009097801065
K11a272,11,11,4.6539815116639397e-05
K11a273,11,11,0.0013417868652734718
K11a274,11,11,0.0023867505890092485
K11a275,11,11,0.0030290337529887894
K11a276,11,11,0.0029600542820046568
K11a277,11,11,0.0028473643238284057
K11a278,11,11,0.00027407944100414172
K11a279,11,11,0.00034948844486473919
K11a28,11,11,0.0012536208763687618
K11a280,11,11,0.00077659785349438245
K11a281,11,11,0.0028308967778566674
K11a282,11,11,0.0027871518471627309
K11a283,11,11,0.0051979603365600782
K11a284,11,10,0.0014906395390262733
K11a285,11,11,0.0015796409564328008
K11a286,11,11,0.00089017300175632628
K11a287,11,10,0.0013919732501112565
K11a288,11,10,0.00054112194861355347
K11a289,11,11,0.0088972447144670327
K11a29,11,11,0.0002354566738839871
K11a290,11,11,0.0071087839193442895
K11a291,11,11,0.00074793369001326701
K11a292,11,11,0.0050458005822849646
K11a293,11,11,0.0013638405437240569
K11a294,11,11,0.0025368481953679614
K11a295,11,11,0.0020950352785319231
K11a296,11,11,0.0019304259075137869
K11a297,11,11,8.7510336952488122e-05
K11a298,11,11,0.00031087639125141042
K11a299,11,11,0.0026073113086061638
K11a3,11,11,0.0015706022039260574
K11a30,11,11,0.0064646182503784819
K11a300,11,11,0.003947883651631786
K11a301,11,10,0.0043354867587470534
K11a302,11,10,0.0055893408347515916
K11a303,11,11,0.00069796375827303194
K11a304,11,11,0.0043995377011852967
K11a305,11,11,0.00014505359856440423
K11a306,11,11,0.017303337991262296
K11a307,11,11,0.0053641912401852579
K11a308,11,11,0.005787415095083728
K11a309,11,11,0.0030494797759642411
K11a31,11,11,0.00075585046118846282
K11a310,11,11,0.00079993843617480508
K11a311,11,11,0.00039041762063864502
K11a312,11,11,0.00096718492454968589
K11a313,11,11,0.0078488612284392384
K11a314,11,10,0.0043120247300604967
K11a315,11,11,0.00045497016310697917
K11a316,11,11,0.0024290209042761276
K11a317,11,11,0.0036001243345622292
K11a318,11,11,0.00090049347545401864
K11a319,11,11,0.0050075433301419153
K11a32,11,11,6.3515929119615884e-05
K11a320,11,11,0.005406848567414399
K11a321,11,11,0.0045093756676781597
K11a322,11,11,0.0011420812433756023
K11a323,11,11,0.0099460196532622901
K11a324,11,11,0.0028019978924661102
K11a325,11,11,0.00088227857280881255
K11a326,11,10,0.00071825159115860768
K11a327,11,11,0.0034428718863591503
K11a328,11,11,0.00084830699998101396
K11a329,11,11,0.00057052111679569578
K11a33,11,11,0.0024360778438016636
K11a330,11,11,0.00119591122129608
K11a331,11,11,0.00060119391281943785
K11a332,11,10,0.0047074307116434042
K11a333,11,11,0.0001096937835052176
K11a334,11,11,0.0022415754836771144
K11a335,11,11,0.0016141426881857285
K11a336,11,11,0.0038153247739762071
K11a337,11,11,0.0061629596241475158
K11a338,11,11,0.0012487534413238343
K11a339,11,11,0.0011435557188798275
K11a34,11,11,0.011962226595830872
K11a340,11,11,0.0078659306817997661
K11a341,11,11,0.0034160214688632126
K11a342,11,12,0.0052004788914356524
K11a343,11,12,0.00011276930445025295
K11a344,11,11,0.00064254716679693264
K11a345,11,11,0.0010816908482886147
K11a346,11,11,0.00057662478312556751
K11a347,11,11,0.0094024774382374058
K11a348,11,11,0.0019132577101213842
K11a349,11,11,0.0059238660421620836
K11a35,11,11,0.0025076718465436901
K11a350,11,10,0.0047805426278593856
K11a351,11,10,0.0097876709727949141
K11a352,11,11,0.0043509145427049669
K11a353,11,11,0.00095080427141049117
K11a354,11,11,0.00052208516266814917
K11a355,11,11,0.0079756328636667196
K11a356,11,11,0.0081679144625569026
K11a357,11,11,0.0006613304372501468
K11a358,11,12,0.0026867569226564389
K11a359,11,11,0.0026754202351922302
K11a36,11,11,0.0017334576409550862
K11a360,11,11,0.0029049345724781201
K11a361,11,11,0.001807171590974333
K11a362,11,11,0.0039511710343872013
K11a363,11,11,0.0049848831173504625
K11a364,11,12,0.00090510286526772788
K11a365,11,11,0.0039832067009880337
K11a366,11,11,0.004508845006889901
K11a367,11,12,0.0031875214341897506
K11a37,11,11,0.0021404563124815608
K11a38,11,11,0.0045288242034422638
K11a39,11,11,0.0026621437196453837
K11a4,11,11,0.0015609741981895461
K11a40,11,11,0.00085659487022436492
K11a41,11,11,0.0030817350198670168
K11a42,11,12,0.0023275940365084856
K11a43,11,12,0.0006699235874495918
K11a44,11,12,0.0028551222678602521
K11a45,11,12,0.00017888632348896159
K11a46,11,12,0.0012079086846667941
K11a47,11,11,0.0060292045072707339
K11a48,11,11,0.0086898174949513723
K11a49,11,11,0.0030964189119367554
K11a5,11,11,0.0017355690651646653
K11a50,11,12,0.0044086199436882984
K11a51,11,12,0.00046836598984735555
K11a52,11,11,0.0030700180845856218
K11a53,11,11,0.0055149139066988989
K11a54,11,11,0.003587251336143051
K11a55,11,11,0.0018857869268473968
K11a56,11,11,0.0055838346799544749
K11a57,11,11,0.0044710559926361892
K11a58,11,11,0.0011879350599829565
K11a59,11,12,0.0045429902812463754
K11a6,11,11,0.00060900593292621981
K11a60,11,11,0.0062158415759853
K11a61,11,11,0.0027195686167498343
K11a62,11,11,0.0034817143782597828
K11a63,11,11,0.0011113697101830171
K11a64,11,11,0.0060540883903033452
K11a65,11,12,0.0019088943881211567
K11a66,11,11,0.0052084312333054864
K11a67,11,11,0.0020947174427508475
K11a68,11,11,0.0074110947167240256
K11a69,11,11,0.0087172917230559071
K11a7,11,11,0.0035476930162181663
K11a70,11,11,0.0047293315173787265
K11a71,11,11,0.00067175945204524896
K11a72,11,11,0.0025546191384846332
K11a73,11,10,0.0037340222527679082
K11a74,11,11,0.0018857850323665474
K11a75,11,11,1.84591039539668e-05
K11a76,11,11,0.0064494358336332734
K11a77,11,11,0.0017492213013364421
K11a78,11,11,0.0014141356934852124
K11a79,11,10,0.0035733035611307299
K11a8,11,11,0.0036081237065160717
K11a80,11,11,0.0029957618091852696
K11a81,11,11,0.0033193829629955072
K11a82,11,11,0.0017216844981930498
K11a83,11,11,0.0024261767316214526
K11a84,11,11,0.0017644045903797533
K11a85,11,11,0.00078783488910758839
K11a86,11,11,0.0048605461663914305
K11a87,11,11,0.00075873517062434903
K11a88,11,11,0.0040532790984515897
K11a89,11,11,0.0023725587428552151
K11a9,11,11,0.004071407635065756
K11a90,11,11,0.0060009239468187944
K11a91,11,11,0.00017794283614924885
K11a92,11,11,0.0049280189748098112
K11a93,11,11,0.0070001134433437702
K11a94,11,11,0.0022448718414551563
K11a95,11,11,0.00073599037026608738
K11a96,11,11,0.017241598242647444
K11a97,11,11,0.0024896259556941337
K11a98,11,11,0.00070807445305920923
K11a99,11,11,0.00057728978496490919
K11n1,11,10,0.0029308081753821333
K11n10,11,11,0.013165995481767329
K11n100,11,10,0.0014753773013758311
K11n101,11,10,0.0028496389808631171
K11n102,11,10,0.0017530190864451874
K11n103,11,11,0.00041946495198734983
